| Số TT | Tên sổ | Ký hiệu | Hình thức kế toán Nhật ký chung | Hình thức kế toán Nhật ký - Sổ Cái | Hình thức kế toán Chứng từ ghi sổ |
|---|---|---|---|---|---|
| 1 | 2 | 3 | 4 | 5 | 6 |
| 01 | Nhật ký - Sổ Cái | S01-DNN | - | x | - |
| 02 | Chứng từ ghi sổ | S02a-DNN | - | - | x |
| 03 | Sổ Đăng ký Chứng từ ghi sổ | S02b-DNN | - | - | x |
| 04 | Sổ Cái (dùng cho hình thức Chứng từ ghi sổ) | S02c1-DNN S02c2-DNN | - | - | x x |
| 05 | Sổ Nhật ký chung | S03a-DNN | x | - | - |
| 06 | Sổ Nhật ký thu tiền | S03a1-DNN | x | - | - |
| 07 | Sổ Nhật ký chi tiền | S03a2-DNN | x | - | - |
| 08 | Sổ Nhật ký mua hàng | S03a3-DNN | x | - | - |
| 09 | Sổ Nhật ký bán hàng | S03a4-DNN | x | - | - |
| 10 | Sổ Cái (dùng cho hình thức Nhật ký chung) | S03b-DNN | x | - | - |
| 11 | Sổ quỹ tiền mặt | S04a-DNN | x | x | x |
| 12 | Sổ kế toán chi tiết quỹ tiền mặt | S04b-DNN | x | x | x |
| 13 | Sổ tiền gửi ngân hàng | S05-DNN | x | x | x |
| 14 | Sổ chi tiết vật liệu, dụng cụ, sản phẩm, hàng hóa | S06-DNN | x | x | x |
| 15 | Bảng tổng hợp chi tiết vật liệu, dụng cụ, sản phẩm, hàng hóa | S07-DNN | x | x | x |
| 16 | Thẻ kho (Sổ kho) | S08-DNN | x | x | x |
| 17 | Sổ tài sản cố định | S09-DNN | x | x | x |
| 18 | Sổ theo dõi TSCĐ và công cụ, dụng cụ tại nơi sử dụng | S10-DNN | x | x | x |
| 19 | Thẻ Tài sản cố định | S11-DNN | x | x | x |
| 20 | Sổ chi tiết thanh toán với người mua (người bán) | S12-DNN | x | x | x |
