CÔNG TY CỔ PHẦN TẬP ĐOÀN SUNSHINE
Tầng 12, tòa nhà Sunshine Center, số 16 Phạm Hùng, Phường Từ Liêm, Hà Nội, Việt Nam

**MẪU SỐ B 02A-DN/HN**
Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính

**BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT**
*Cho kỳ hoạt động kết thúc ngày 30 tháng 09 năm 2025*
Đơn vị: VND

| CHỈ TIÊU | Mã số | Thuyết minh | Quý 3 Năm 2025 | Quý 3 Năm 2024 | Từ 01/01/2025 đến 30/09/2025 | Từ 01/01/2024 đến 30/09/2024 |
|---|---|---|---|---|---|---|
| 1. Doanh thu bán hàng và cung cấp dịch vụ | 01 | 26 | 4.235.873.404.209 | 164.747.380.086 | 4.894.898.435.124 | 2.174.167.162.000 |
| Các khoản giảm trừ doanh thu | 02 | | 2.377.056.510 | - | 12.712.079.823 | - |
| **2. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01)** | **10** | | **4.233.496.347.699** | **164.747.380.086** | **4.882.186.355.301** | **2.174.167.162.000** |
| 3. Giá vốn hàng bán | 11 | 27 | 1.547.387.878.066 | 87.752.346.229 | 2.016.085.169.490 | 1.153.343.038.417 |
| **4. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11)** | **20** | | **2.686.108.469.633** | **76.995.033.857** | **2.866.101.185.811** | **1.020.824.123.583** |
| 5. Doanh thu hoạt động tài chính | 21 | 28 | 257.540.799.179 | 164.815.592.598 | 521.214.606.540 | 512.676.983.664 |
| 6. Chi phí tài chính | 22 | 29 | 449.045.733.955 | 150.635.862.930 | 641.724.372.797 | 501.245.887.404 |
| *- Trong đó: Chi phí lãi vay* | 23 | | 316.896.790.012 | 34.722.161.001 | 339.249.865.288 | 123.497.073.138 |
| 7. Lãi/lỗ trong công ty liên doanh, liên kết | 24 | | 2.749.596.246 | - | 516.322.247 | - |
| 8. Chi phí bán hàng | 25 | 30 | 501.003.633.789 | 5.584.817.327 | 524.442.462.087 | 138.385.076.111 |
| 9. Chi phí quản lý doanh nghiệp | 26 | 30 | 46.001.898.944 | 46.191.230.503 | 133.022.887.381 | 126.015.950.011 |
| **10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)+24-(25+26))** | **30** | | **1.950.347.598.370** | **39.398.715.695** | **2.088.642.392.333** | **767.854.193.721** |
| 11. Thu nhập khác | 31 | | 1.237.504.951 | 733.853.018 | 6.440.446.996 | 3.103.505.328 |
| 12. Chi phí khác | 32 | | 30.739.624.613 | 655.399.850 | 52.703.722.870 | 2.284.042.958 |
| 13. (Lỗ)/lợi nhuận khác (40=31-32) | 40 | | (29.502.119.662) | 78.453.168 | (46.263.275.874) | 819.462.370 |
| **14. Tổng lợi nhuận kế toán trước thuế (50=30+40)** | **50** | | **1.920.845.478.708** | **39.477.168.863** | **2.042.379.116.459** | **768.673.656.091** |
| 15. Chi phí thuế thu nhập doanh nghiệp hiện hành | 51 | 31 | 413.521.434.760 | 9.951.687.938 | 450.511.499.935 | 158.429.616.675 |
| Chi phí thuế thu nhập doanh nghiệp hoãn lại | 52 | | (997.691.769) | - | 643.864.176 | - |
| **16. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51)** | **60** | | **1.508.321.735.717** | **29.525.480.925** | **1.591.223.752.348** | **610.244.039.416** |
| Trong đó: | | | | | | |
| Lợi nhuận sau thuế của Công ty mẹ | 61 | | 1.358.011.552.391 | 26.565.678.807 | 1.426.441.095.273 | 538.712.571.225 |
| Lãi/(Lỗ) sau thuế của cổ đông không kiểm soát | 62 | | 150.310.183.326 | 2.959.802.118 | 164.782.657.075 | 71.531.468.191 |
| 17. Lãi cơ bản trên cổ phiếu | 70 | 32 | 4.527 | 89 | 4.755 | 1.796 |
