BỘ CÔNG THƯƠNG
TẬP ĐOÀN XĂNG DẦU VIỆT NAM

**Mẫu số: B01a - DN/HN**

**BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT GIỮA NIÊN ĐỘ**
Quý 03 Năm 2018
Tại ngày 30 tháng 09 năm 2018
Đơn vị tính: VNĐ

| TÀI SẢN | Mã số | Thuyết minh | Số cuối quý | Số đầu năm |
|---|---|---|---|---|
| **1** | **2** | **3** | **4** | **5** |
| **A. Tài sản ngắn hạn** | **100** | | **41,637,462,239,308** | **40,526,370,730,962** |
| **I. Tiền và các khoản tương đương tiền** | **110** | | **9,904,293,659,601** | **14,223,421,508,261** |
| 1. Tiền | 111 | | 6,026,240,321,695 | 5,705,904,913,235 |
| 2. Các khoản tương đương tiền | 112 | | 3,878,053,337,906 | 8,517,516,595,026 |
| **II. Đầu tư tài chính ngắn hạn** | **120** | | **5,916,203,472,600** | **2,505,007,709,502** |
| 1. Chứng khoán kinh doanh | 121 | | 5,256,246,000 | 6,021,246,000 |
| 2. Dự phòng giảm giá chứng khoán kinh doanh | 122 | | (2,826,773,400) | (2,053,067,986) |
| 3. Đầu tư nắm giữ đến ngày đáo hạn | 123 | | 5,913,774,000,000 | 2,501,039,531,488 |
| **III. Các khoản phải thu ngắn hạn** | **130** | | **10,215,291,273,459** | **7,462,114,111,441** |
| 1. Phải thu ngắn hạn của khách hàng | 131 | | 9,471,975,667,968 | 6,811,902,244,793 |
| 2. Trả trước cho người bán ngắn hạn | 132 | | 624,907,361,611 | 374,679,687,768 |
| 3. Phải thu nội bộ ngắn hạn | 133 | | | |
| 4. Phải thu theo tiến độ kế hoạch hợp đồng XD | 134 | | | |
| 5. Phải thu về cho vay ngắn hạn | 135 | | | |
| 6. Phải thu ngắn hạn khác | 136 | | 510,661,334,489 | 590,517,831,399 |
| 7. Dự phòng phải thu ngắn hạn khó đòi | 137 | | (393,065,080,648) | (315,787,838,951) |
| 8. Tài sản thiếu chờ xử lý | 139 | | 811,990,039 | 802,186,432 |
| **IV. Hàng tồn kho** | **140** | | **13,528,710,922,603** | **12,867,551,209,134** |
| 1. Hàng tồn kho | 141 | | 13,547,779,541,084 | 12,890,760,772,088 |
| 2. Dự phòng giảm giá hàng tồn kho | 149 | | (19,068,618,481) | (23,209,562,954) |
| **V. Tài sản ngắn hạn khác** | **150** | | **2,072,962,911,045** | **3,468,276,192,624** |
| 1. Chi phí trả trước ngắn hạn | 151 | | 219,121,158,029 | 217,282,436,389 |
| 2. Thuế giá trị gia tăng được khấu trừ | 152 | | 411,655,737,189 | 305,744,694,520 |
| 3. Thuế và các khoản khác phải thu Nhà nước | 153 | | 1,416,000,656,882 | 2,910,198,024,758 |
| 4. Giao dịch mua bán lại trái phiếu chính phủ | 154 | | | |
| 5. Tài sản ngắn hạn khác | 155 | | 26,185,358,945 | 35,051,036,957 |
| **B. Tài sản dài hạn** | **200** | | **21,059,199,751,937** | **21,242,690,361,597** |
| **I. Các khoản phải thu dài hạn** | **210** | | **21,595,960,422** | **88,684,537,328** |
| 1. Phải thu dài hạn của khách hàng | 211 | | 824,364,568 | 75,342,051,954 |
| 2. Trả trước cho người bán dài hạn | 212 | | | |
| 3. Vốn kinh doanh ở đơn vị trực thuộc | 213 | | | |
| 4. Phải thu nội bộ dài hạn | 214 | | | |
| 5. Phải thu về cho vay dài hạn | 215 | | | |
| 6. Phải thu dài hạn khác | 216 | | 39,770,937,415 | 40,103,033,030 |
| 7. Dự phòng phải thu dài hạn khó đòi | 219 | | (18,999,341,561) | (26,760,547,656) |
| **II. Tài sản cố định** | **220** | | **15,007,392,247,634** | **15,270,763,892,934** |
| 1. Tài sản cố định hữu hình | 221 | | 13,079,295,686,737 | 13,325,714,869,802 |
| - Nguyên giá | 222 | | 30,170,118,891,620 | 29,308,854,603,054 |
| - Giá trị hao mòn luỹ kế | 223 | | (17,090,823,204,883) | (15,983,139,733,252) |
| 2. Tài sản cố định thuê tài chính | 224 | | | |
| - Nguyên giá | 225 | | | |
| - Giá trị hao mòn luỹ kế (*) | 226 | | | |
